,Dmax,X,Ku,Ka,W,ldr,xpolKa,mkg
62,8.015625,1.2460599999999997e-16,3.0978009999999998e-15,1.3124299999999999e-14,2.0713620000000002e-13,6.937705630014553e-05,9.105253000000001e-19,
154,8.109375,1.106993e-16,2.875457e-15,1.215393e-14,9.11696e-14,8.099365390453953e-05,9.843912e-19,
22,8.109375,1.227374e-16,3.8749719999999996e-15,5.750477000000001e-14,5.798729e-14,1.9871760203544852e-05,1.1427209999999999e-18,
50,8.109375,1.200379e-16,3.0965740000000002e-15,6.861381e-15,1.9356409999999998e-13,8.316738277614957e-05,5.706430999999999e-19,
122,8.15625,1.161096e-16,3.252337e-15,1.15771e-14,3.354875e-14,1.3283620250321755e-06,1.537858e-20,
58,8.203125,1.0482879999999999e-16,3.309532e-15,1.209518e-14,2.097811e-14,0.00029436478001980946,3.560394999999999e-18,
198,8.203125,1.154123e-16,2.985196e-15,9.923149999999998e-15,1.011547e-13,9.039498546328536e-05,8.97003e-19,
46,8.296875,1.156966e-16,3.408322e-15,1.772618e-14,6.530451999999999e-14,0.00011482778579479619,2.035458e-18,
186,8.296875,1.2442249999999998e-16,3.4459949999999997e-15,8.438282e-15,1.055155e-13,0.0003762916432515529,3.1752549999999996e-18,
94,8.296875,1.114585e-16,3.439445e-15,1.6153930000000002e-14,1.5263379999999997e-13,4.62948025650724e-05,7.47843e-19,
142,8.34375,1.175685e-16,3.2658239999999996e-15,1.115477e-14,1.198072e-14,2.3426596872907286e-05,2.613183e-19,
18,8.34375,1.1898890000000001e-16,3.311624e-15,4.8564490000000004e-15,8.912250999999999e-14,4.9515623452444363e-05,2.404701e-19,
6,8.4375,1.2344890000000001e-16,3.019467e-15,1.252222e-14,9.741476999999999e-15,3.170516889177797e-05,3.970191e-19,
102,8.4375,1.206296e-16,3.478009e-15,1.94225e-14,6.8292e-14,3.812403140687347e-05,7.40464e-19,
138,8.4375,1.214736e-16,3.1897759999999995e-15,1.0930649999999999e-14,1.075088e-13,9.521181265524009e-05,1.0407269999999999e-18,
78,8.4375,1.0714759999999999e-16,3.881069000000001e-15,6.183389e-14,2.3419889999999997e-14,4.2422868753688306e-05,2.6231709999999996e-18,
90,8.53125,1.197025e-16,2.9465499999999997e-15,4.928072e-15,2.8345619999999997e-15,0.00011131884842591586,5.485873e-19,
150,8.578125,1.23615e-16,3.8514699999999995e-15,2.079303e-14,5.742181e-14,0.00016659577752737336,3.4640309999999997e-18,
134,8.625,1.0703009999999999e-16,3.110963e-15,2.112745e-14,6.418936e-14,9.419366747998458e-05,1.990072e-18,
106,8.71875,1.197161e-16,3.4467179999999993e-15,2.0638569999999996e-14,2.5304619999999998e-14,0.0002961644629448649,6.112411e-18,
86,8.765625,1.159424e-16,3.1854329999999992e-15,9.918415e-15,1.9364639999999998e-13,2.5938993276647528e-05,2.5727369999999996e-19,
194,8.8125,1.192452e-16,3.5450799999999996e-15,3.812214e-14,2.964944e-15,4.3773723091096144e-05,1.6687479999999999e-18,
82,8.859375,1.2279880000000001e-16,4.206715999999999e-15,6.887627999999999e-14,9.82343e-15,2.9478827834488156e-05,2.0303919999999997e-18,
146,8.859375,1.207125e-16,3.0426029999999996e-15,1.2955829999999999e-14,5.480933e-14,7.075866231650153e-05,9.167372e-19,
170,9.0,1.162497e-16,3.5454990000000003e-15,2.99144e-14,4.769804999999999e-14,3.3198549862273684e-05,9.931146999999998e-19,
70,9.0,1.0784089999999999e-16,3.189343e-15,1.15577e-14,1.746343e-14,8.375360149510716e-06,9.679990000000001e-20,
118,9.046875,1.2032679999999998e-16,3.387872e-15,1.9312249999999997e-14,6.959571e-14,4.861803777395177e-05,9.389236999999998e-19,
126,9.140625,1.064193e-16,3.3696579999999996e-15,2.043475e-14,4.9831999999999994e-14,0.00030774406342137784,6.288673e-18,
98,9.1875,1.273138e-16,4.2710990000000005e-15,4.761238e-14,9.566707000000001e-14,1.0994877802789946e-05,5.234922999999999e-19,
162,9.234375,1.248122e-16,3.4337459999999994e-15,1.841721e-14,1.74326e-13,3.814491988743137e-05,7.025229999999999e-19,
166,9.234375,1.266717e-16,3.0788569999999995e-15,8.031279999999998e-15,3.223031e-14,0.0001443292974469823,1.159149e-18,
34,9.234375,1.373807e-16,4.04562e-15,3.3008280000000003e-14,1.582672e-13,7.257903168538317e-05,2.3957089999999997e-18,
190,9.28125,1.042747e-16,3.5060929999999992e-15,2.6702119999999996e-14,4.3539299999999997e-14,2.6164967425807387e-05,6.986600999999999e-19,
26,9.421875,1.110041e-16,3.389729e-15,6.374975e-15,1.304227e-14,0.0001822217342028792,1.161659e-18,
158,9.421875,1.034266e-16,3.3207009999999995e-15,1.5748370000000002e-14,1.975761e-14,0.0002065592185095981,3.2529709999999995e-18,
2,9.46875,1.157318e-16,3.972652e-15,3.100686e-14,3.224308e-14,1.2243477733637007e-05,3.796318e-19,
114,9.515625,1.301086e-16,3.7353889999999995e-15,3.9794239999999994e-14,4.412662e-14,0.000126298906575424,5.0259690000000006e-18,
54,9.5625,1.0626619999999999e-16,2.7580209999999996e-15,2.4504109999999997e-15,7.034855999999999e-14,0.0008857550835349662,2.170464e-18,
14,9.5625,1.0607459999999999e-16,3.1696579999999995e-15,4.245997e-15,4.632965e-14,0.0001736323883413012,7.372426e-19,
130,9.609375,1.085897e-16,3.5073209999999994e-15,1.9292470000000002e-14,1.364848e-14,4.1671501886487313e-05,8.039462e-19,
110,9.796875,1.249712e-16,3.314414e-15,1.8584590000000002e-14,1.035069e-13,4.074489133201216e-06,7.572271e-20,
10,10.59375,1.256594e-16,3.6366370000000004e-15,1.832196e-14,2.213461e-14,3.612669714375536e-05,6.619119e-19,
30,10.734375,1.0683129999999999e-16,3.3705769999999998e-15,1.3892899999999998e-14,1.253776e-13,6.280336718755625e-05,8.725209000000001e-19,
74,10.828125,1.3399889999999998e-16,3.603749e-15,2.8046159999999995e-14,2.4912389999999997e-14,1.1972879709735667e-05,3.357933e-19,
107,14.203125,1.5746329999999996e-15,3.117118e-14,5.02689e-14,3.3154020000000003e-13,0.0002719064869133798,1.3668439999999998e-17,
31,15.28125,1.453597e-15,1.9144069999999997e-14,8.222396e-14,7.029636999999999e-15,0.00014002560810741786,1.151346e-17,
155,15.421875,1.5705979999999999e-15,2.425162e-14,3.1581259999999997e-14,1.038499e-13,0.000304113768735003,9.604296000000001e-18,
47,15.46875,1.3182060000000001e-15,1.965115e-14,8.082283e-14,4.5451379999999997e-13,8.664034654564805e-05,7.002518e-18,
99,15.75,9.690299999999999e-16,5.712216e-15,2.3776620000000005e-15,2.6430569999999995e-13,7.823033719679246e-05,1.860053e-19,
147,15.890625,1.0568419999999999e-15,1.7207049999999998e-14,1.353226e-13,7.837124e-13,1.7010366339399332e-05,2.301887e-18,
55,15.984375,1.5868170000000002e-15,2.813775e-14,8.941626999999999e-14,3.1056159999999996e-13,0.0001727655380838409,1.544805e-17,
59,16.125,1.2525869999999999e-15,2.452974e-14,2.9598529999999995e-14,6.048848e-14,0.0002329004852605856,6.893511999999999e-18,
199,16.171875,1.302864e-15,7.523788e-15,5.0928660000000005e-14,7.034146999999999e-13,2.2842089306885352e-05,1.163317e-18,
171,16.3125,1.5253529999999997e-15,1.813767e-14,9.341857000000001e-14,2.4088649999999998e-14,0.0001354435204906262,1.2652939999999999e-17,
15,16.359375,1.220666e-15,2.4278409999999998e-14,6.60889e-14,8.076375999999999e-13,9.962412750098731e-05,6.584049e-18,
7,16.40625,1.3402539999999997e-15,1.2761959999999998e-14,3.914136e-14,5.5471089999999996e-14,0.0001441592218563688,5.642587999999999e-18,
87,16.40625,1.574576e-15,2.2275610000000002e-14,1.369286e-14,2.029192e-13,0.00012149857663044829,1.663663e-18,
3,16.546875,1.785013e-15,2.3591589999999998e-14,6.44912e-14,1.8106e-13,4.673242240801846e-06,3.0138299999999996e-19,
63,16.546875,1.02147e-15,8.428175999999999e-15,4.193737e-14,1.254659e-14,0.0002199521333836623,9.224213999999998e-18,
159,16.6875,1.5686779999999998e-15,2.446889e-14,4.724551e-14,1.7337539999999998e-13,0.00010458255186577519,4.941056e-18,
23,16.96875,1.065625e-15,4.658603e-15,2.1468630000000003e-14,8.292847999999999e-14,2.3938821433878173e-05,5.139337e-19,
131,17.015625,1.721396e-15,1.9211069999999998e-14,7.318357e-14,6.785547999999999e-13,0.00015265270606503616,1.117167e-17,
35,17.0625,1.3386889999999999e-15,1.9891369999999997e-14,3.826742000000001e-15,1.59814e-13,2.551521111169762e-06,9.764012999999999e-21,
67,17.0625,1.7816719999999997e-15,3.317507e-14,7.073539999999999e-14,1.5656e-13,0.0005012856363291931,3.545864e-17,
