,model,ELWP,mkg,Dmax,Rgyr,ar,riming,Xa,Xs,Xb,Xe,Ua,Us,Ub,Ue,Aa,As,Ab,Ae,Wa,Ws,Wb,We
56,B,2.0,7.771246e-05,0.01297053,,,0.9873040999999999,6.3098280000000005e-09,9.686171999999998e-07,1.166392e-06,,1.2644169999999999e-08,2.985634e-06,2.8493720000000003e-06,,9.750724e-08,3.2231390000000004e-05,1.2001e-06,,8.575489e-07,0.0001609497,4.28595e-05,
57,B,2.0,8.945841999999999e-05,0.01317742,,,0.9847351000000001,7.117361e-09,1.208048e-06,1.3113399999999999e-06,,1.418943e-08,3.587353e-06,2.642946e-06,,1.072212e-07,3.6502859999999996e-05,5.9686270000000004e-06,,9.305126e-07,0.0001998768,6.65386e-06,
58,B,2.0,9.069585999999999e-05,0.01444928,,,0.9864648000000001,7.396943e-09,1.259388e-06,1.4717939999999999e-06,,1.46461e-08,3.66866e-06,3.028569e-06,,1.0434219999999999e-07,3.279117e-05,1.506758e-06,,8.754945999999999e-07,0.0001922561,7.991059e-06,
59,B,2.0,6.587696999999999e-05,0.01151648,,,0.9869699000000001,5.37762e-09,7.358263000000001e-07,9.167827e-07,,1.080117e-08,2.3549700000000003e-06,2.338626e-06,,8.425737e-08,2.6982199999999997e-05,4.010400000000001e-06,,6.344260999999999e-07,0.0001426877,1.727935e-06,
60,B,2.0,9.221156999999999e-05,0.0138889,,,0.9870633,7.391663e-09,1.288014e-06,1.570675e-06,,1.456251e-08,3.715835e-06,3.476813e-06,,1.0734869999999999e-07,3.310065e-05,2.236409e-06,,9.375177e-07,0.0001975437,1.1604569999999999e-05,
61,B,2.0,9.934775e-05,0.01436059,,,0.9866355,7.971442e-09,1.464275e-06,1.7130750000000001e-06,,1.574182e-08,4.180079e-06,3.527795e-06,,1.1492989999999999e-07,3.783866e-05,2.02381e-06,,9.348336e-07,0.00021247830000000002,2.11678e-05,
62,B,2.0,8.182872e-05,0.01256397,,,0.9839965,6.395098000000001e-09,9.34511e-07,8.022131999999999e-07,,1.284518e-08,2.6914229999999998e-06,1.084009e-06,,1.0854639999999999e-07,3.7222480000000003e-05,5.669008000000001e-07,,8.94296e-07,0.0001796466,1.3458020000000002e-05,
63,B,2.0,6.165528e-05,0.01018272,,,0.9842801999999999,4.892710999999999e-09,6.270674999999999e-07,7.195690000000001e-07,,9.857663000000001e-09,2.015189e-06,1.6559719999999998e-06,,7.701632000000002e-08,2.653258e-05,1.114346e-05,,6.27628e-07,0.0001399384,1.168874e-06,
64,B,2.0,8.156588e-05,0.01217668,,,0.9828610000000001,6.4420169999999995e-09,9.923601e-07,9.882156e-07,,1.2930700000000002e-08,2.9573680000000002e-06,1.778551e-06,,1.071533e-07,3.7898779999999996e-05,1.109712e-06,,8.998654e-07,0.00018357849999999998,6.952215e-06,
65,B,2.0,2.201007e-05,0.007195138,,,0.9931549000000001,1.68543e-09,8.956747e-08,1.20648e-07,,3.400843e-09,3.2922779999999995e-07,3.9700479999999996e-07,,2.8188020000000004e-08,6.725256e-06,8.761935000000001e-08,,2.451145e-07,5.1958599999999994e-05,8.941001e-07,
66,B,2.0,2.998152e-05,0.008549387,,,0.9907754999999999,2.281649e-09,1.554028e-07,1.888355e-07,,4.604571e-09,5.419580999999999e-07,5.245457e-07,,4.0475309999999996e-08,1.01834e-05,8.004414e-07,,3.466887e-07,7.32478e-05,9.608298e-06,
67,B,2.0,1.3596670000000001e-05,0.0057660509999999995,,,0.9932815999999999,1.0442400000000001e-09,3.569204e-08,5.032448e-08,,2.088513e-09,1.345405e-07,1.784864e-07,,1.676953e-08,3.502795e-06,1.3238450000000001e-06,,1.340259e-07,2.739115e-05,1.9157060000000003e-06,
